Gene_stable_ID	Gene_name	Gene_description
PRELSG_07_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_08_v1	""	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1%2C putative
PRELSG_06_v1	""	RNA-binding protein%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_450	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ubiquitin-conjugating enzyme E2%2C putative
PRELSG_05_v1	""	hypothetical protein
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_95	""	kinesin-like protein%2C putative
PRELSG_14_v1	""	ras-related protein Rab-11A%2C putative
PRELSG_AP_v1	""	tRNA Methionine
PRELSG_09_v1	""	EELM2 domain-containing protein%2C putative
PRELSG_00_v1_archived_contig_53	""	fam-h protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	MtN3-like protein
PRELSG_14_v1	""	syntaxin%2C Qa-SNARE family%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	W repeat-containing protein%2C putative
PRELSG_11_v1	""	transcription or splicing factor-like protein%2C putative
PRELSG_14_v1	""	aminophospholipid-transporting P-ATPase%2C putative
PRELSG_01_v1	""	AAA family ATPase%2C putative
PRELSG_14_v1	""	eukaryotic translation initation factor 4 gamma%2C putative
PRELSG_11_v1	""	patatin-like phospholipase%2C putative
PRELSG_12_v1	""	step  splicing factor%2C putative
PRELSG_12_v1	""	thioredoxin peroxidase 1%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	60S ribosomal protein L35%2C putative
PRELSG_00_v1_archived_contig_457	""	fam-h protein
PRELSG_07_v1	""	TL domain-containing protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	ras-related protein Rab-11B%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	tyrosine kinase-like protein%2C putative
PRELSG_12_v1	""	LCCL domain-containing protein%2C putative
PRELSG_07_v1	""	apicoplast integral membrane protein%2C putative
PRELSG_14_v1	""	serine/threonine protein kinase PK9%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	cactin homolog%2C putative
PRELSG_01_v1	""	26S proteasome regulatory subunit RPN10%2C putative
PRELSG_00_v1_archived_contig_175	""	early transcribed membrane protein
PRELSG_01_v1	""	mitogen-activated protein kinase organizer 1%2C putative
PRELSG_06_v1	""	claudin-like apicomplexan microneme protein%2C putative
PRELSG_11_v1	""	tyrosine kinase-like protein%2C putative
PRELSG_00_v1_archived_contig_24	""	fam-h protein
PRELSG_13_v1	""	plastid replication-repair enzyme%2C putative
PRELSG_00_v1_archived_contig_230	""	fam-f protein
PRELSG_11_v1	""	50S ribosomal protein L1%2C apicoplast%2C putative
PRELSG_09_v1	""	cupin-like protein%2C putative
PRELSG_08_v1	""	AP2 domain transcription factor AP2-%2C putative
PRELSG_10_v1	""	conserved protein%2C unknown function
PRELSG_09_v1	""	U2 spliceosomal RNA
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	40S ribosomal protein S9%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	secretory complex protein 62%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ER membrane protein complex subunit 2%2C putative
PRELSG_12_v1	""	tRNA intron endonuclease%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	ZP domain-containing protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	leucine--tRNA ligase%2C putative
PRELSG_11_v1	""	zinc transporter ZP1%2C putative
PRELSG_08_v1	""	triosephosphate isomerase%2C putative
PRELSG_14_v1	""	sporozoite surface protein 3%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	hypothetical protein
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	metacaspase-2%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	thioredoxin-like protein
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	60S ribosomal subunit protein L24%2C putative
PRELSG_06_v1	""	inner membrane complex protein 1m%2C putative
PRELSG_12_v1	""	ubiquitin-protein ligase%2C putative
PRELSG_AP_v1	""	tRNA Glycine
PRELSG_10_v1	""	conserved protein%2C unknown function
PRELSG_01_v1	""	naJ protein%2C putative
PRELSG_00_v1_archived_contig_153	""	Plasmodium exported protein%2C unknown function
PRELSG_09_v1	""	aquaglyceroporin%2C putative
PRELSG_04_v1	""	secretory complex protein 61 gamma subunit%2C putative
PRELSG_12_v1	""	GTPase-activating protein%2C putative
PRELSG_14_v1	""	GTP cyclohydrolase %2C putative
PRELSG_06_v1	""	AP-ribosylation factor%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	ubiquinone biosynthesis protein COQ4%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	holo-[acyl-carrier-protein] synthase%2C putative
PRELSG_10_v1	""	dolichol-phosphate mannosyltransferase subunit 3%2C putative
PRELSG_00_v1_archived_contig_76	""	hypothetical protein
PRELSG_12_v1	""	tRNA Serine
PRELSG_14_v1	""	NA replication origin binding protein%2C putative
PRELSG_14_v1	""	SAM dependent methyltransferase%2C putative
PRELSG_00_v1_archived_contig_166	""	surface-associated interspersed protein (SURFN)
PRELSG_10_v1	""	tubulin--tyrosine ligase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_MT_v1	""	cytochrome b
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	asparagine--tRNA ligase%2C putative
PRELSG_07_v1	""	monocarboxylate transporter%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	tRNA pseudouridine synthase%2C putative
PRELSG_08_v1	""	zinc finger protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	peptidase%2C putative
PRELSG_11_v1	""	TPH domain-containing protein%2C putative
PRELSG_99_v2_archived_contig_13	""	early transcribed membrane protein
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	pre-mRNA-splicing factor CLF1%2C putative
PRELSG_04_v1	""	protein kinase%2C putative
PRELSG_08_v1	""	plasmepsin V%2C putative
PRELSG_13_v1	""	60S ribosomal protein L7-3%2C putative
PRELSG_12_v1	""	vacuolar protein sorting-associated protein 4%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	H/ACA ribonucleoprotein complex subunit 1%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	actin-depolymerizing factor 2%2C putative
PRELSG_03_v1	""	flap endonuclease 1%2C putative
PRELSG_09_v1	""	serine/threonine protein kinase%2C putative
PRELSG_14_v1	""	dihydrolipoyl dehydrogenase%2C mitochondrial%2C putative
PRELSG_08_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_09_v1	""	NA-directed RNA polymerase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	histone deacetylase complex subunit SAP18%2C putative
PRELSG_01_v1	""	NA helicase PSH3%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	RNA-binding protein 8A%2C putative
PRELSG_13_v1	""	mRNA-capping enzyme subunit alpha%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	dynein intermediate light chain%2C putative
PRELSG_11_v1	""	telomere repeat-binding zinc finger protein%2C putative
PRELSG_13_v1	""	cytochrome c1 heme lyase%2C putative
PRELSG_09_v1	""	deubiquinating/deneddylating enzyme%2C putative
PRELSG_11_v1	""	cGMP-specific phosphodiesterase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	6-phosphogluconate dehydrogenase%2C decarboxylating%2C putative
PRELSG_08_v1	""	conserved protein%2C unknown function
PRELSG_02_v1	""	lipid/sterol:H+ symporter%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	peptidyl-tRNA hydrolase CT1%2C putative
PRELSG_11_v1	""	proliferating cell nuclear antigen 1%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	SWB/MM2 domain-containing protein%2C putative
PRELSG_13_v1	""	SPRY domain%2C putative
PRELSG_08_v1	""	cytoadherence linked asexual protein%2C putative
PRELSG_09_v1	""	13 ka ribonucleoprotein-associated protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	40S ribosomal protein S16%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_42	""	fam-h protein
PRELSG_11_v1	""	spindle assembly abnormal protein 6%2C putative
PRELSG_09_v1	""	60S ribosomal protein L35ae%2C putative
PRELSG_09_v1	""	guanine nucleotide-exchange factor SEC12%2C putative
PRELSG_12_v1	""	small nucleolar RNA snoR19
PRELSG_13_v1	""	signal recognition particle RNA
PRELSG_13_v1	""	FANCJ-like helicase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	mitochondrial preribosomal assembly protein rimM precursor%2C putative
PRELSG_08_v1	""	40S ribosomal protein S20e%2C putative
PRELSG_12_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	histone acetyltransferase%2C putative
PRELSG_AP_v1	""	probable protein%2C unknown function
PRELSG_14_v1	""	heterochromatin protein 1%2C putative
PRELSG_14_v1	""	cytochrome c%2C putative
PRELSG_07_v1	""	alpha-tubulin N-acetyltransferase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	kelch domain-containing protein%2C putative
PRELSG_08_v1	""	ubiquitin-protein ligase%2C putative
PRELSG_07_v1	""	GP-fucose protein O-fucosyltransferase 2%2C putative
PRELSG_00_v1_archived_contig_95	""	alanine--tRNA ligase%2C putative
PRELSG_13_v1	""	GTP-binding protein%2C putative
PRELSG_14_v1	""	40S ribosomal protein S17%2C putative
PRELSG_06_v1	""	phosducin-like protein%2C putative
PRELSG_07_v1	""	exoribonuclease%2C putative
PRELSG_05_v1	""	NA helicase MCM9%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_36	""	fam-h protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	NA (cytosine-5)-methyltransferase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	radical SAM protein%2C putative
PRELSG_08_v1	""	naJ protein%2C putative
PRELSG_11_v1	""	major facilitator superfamily-related transporter%2C putative
PRELSG_11_v1	""	amino acid transporter%2C putative
PRELSG_13_v1	""	threonylcarbamoyl-AMP synthase%2C putative
PRELSG_04_v1	""	PH domain-containing protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	phosphopantothenoylcysteine decarboxylase%2C putative
PRELSG_00_v1_archived_contig_305	""	surface-associated interspersed protein (SURFN)
PRELSG_13_v1	""	ubiquitin carboxyl-terminal hydrolase%2C putative
PRELSG_02_v1	""	prefoldin subunit 3%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	telomeric repeat binding factor 1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	bromodomain protein%2C putative
PRELSG_06_v1	""	zinc finger protein%2C putative
PRELSG_10_v1	""	RAP protein%2C putative
PRELSG_00_v1_archived_contig_198	""	elongation factor 1-alpha%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	secreted ookinete adhesive protein%2C putative
PRELSG_13_v1	""	prohibitin%2C putative
PRELSG_14_v1	""	cullin-1%2C putative
PRELSG_00_v1_archived_contig_21	""	hypothetical protein
PRELSG_08_v1	""	HA superfamily protein%2C putative
PRELSG_13_v1	""	small nucleolar RNA snoR25
PRELSG_11_v1	""	RNA polymerase  transcription factor B subunit 4%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_68	""	fam-f protein
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	mitochondrial ribosomal protein S8 precursor%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	NA-directed RNA polymerase  subunit RPB7%2C putative
PRELSG_00_v1_archived_contig_28	""	hypothetical protein
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	CG2-related protein%2C putative
PRELSG_AP_v1	""	apicoplast ribosomal protein L14%2C putative
PRELSG_06_v1	""	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	rRNA (adenosine-2'-O-)-methyltransferase%2C putative
PRELSG_12_v1	""	phosphoenolpyruvate carboxykinase%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Apicomplexan protein%2C unknown function
PRELSG_07_v1	""	proteasome subunit beta type-6%2C putative
PRELSG_04_v1	""	hypothetical protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	guanidine nucleotide exchange factor%2C putative
PRELSG_07_v1	""	leucine-rich repeat protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	ERCC4 domain-containing protein%2C putative
PRELSG_12_v1	""	apicoplast calcium binding protein 1%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	succinate dehydrogenase subunit 3%2C putative
PRELSG_02_v1	""	small subunit rRNA processing protein%2C putative
PRELSG_12_v1	""	nucleotidyltransferase%2C putative
PRELSG_07_v1	""	60S ribosomal protein L32%2C putative
PRELSG_11_v1	""	acyl CoA:diacylglycerol acyltransferase%2C putative
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	serine--tRNA ligase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	protein SOC1%2C putative
PRELSG_08_v1	""	diacylglycerol O-acyltransferase%2C putative
PRELSG_05_v1	""	conserved protein%2C unknown function
PRELSG_12_v1	""	plasmepsin V%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	hypothetical protein
PRELSG_12_v1	""	histone deacetylase%2C putative
PRELSG_AP_v1	""	unspecified product
PRELSG_05_v1	""	LETM1-like protein%2C putative
PRELSG_10_v1	""	ubiquitin-conjugating enzyme E2 N%2C putative
PRELSG_13_v1	""	hypothetical protein
PRELSG_00_v1_archived_contig_137	""	Plasmodium exported protein%2C unknown function
PRELSG_14_v1	""	negative elongation factor A%2C putative
PRELSG_09_v1	""	beta-catenin-like protein 1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	serine/threonine protein phosphatase 2A activator%2C putative
PRELSG_00_v1_archived_contig_229	""	blood stage antigen 41-3 precursor%2C putative
PRELSG_00_v1_archived_contig_10	""	Plasmodium exported protein%2C unknown function
PRELSG_11_v1	""	phosphatidylinositol N-acetylglucosaminyltransferase subunit GP1%2C putative
PRELSG_01_v1	""	serine/threonine protein kinase%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	delta-aminolevulinic acid synthetase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	CSTF domain-containing protein%2C putative
PRELSG_09_v1	""	60S ribosomal protein L28%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	diphthine methyl ester synthase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	mitochondrial ribosomal protein L16 precursor%2C putative
PRELSG_11_v1	""	AP2 domain transcription factor%2C putative
PRELSG_10_v1	""	ubiquitin carboxyl-terminal hydrolase 2%2C putative
PRELSG_14_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_09_v1	""	U6 snRNA-associated Sm-like protein LSm1%2C putative
PRELSG_03_v1	""	eukaryotic translation initiation factor 3 subunit %2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_297	""	hypothetical protein
PRELSG_07_v1	""	methyltransferase%2C putative
PRELSG_02_v1	""	exosome complex component CSL4%2C putative
PRELSG_00_v1_archived_contig_204	""	Plasmodium exported protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	eukaryotic translation initiation factor 3 subunit L%2C putative
PRELSG_12_v1	""	vacuolar-sorting protein SNF7%2C putative
PRELSG_07_v1	""	type  NAH:ubiquinone oxidoreductase%2C putative
PRELSG_04_v1	""	ribonuclease P
PRELSG_10_v1	""	MOLO1 domain-containing protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	nuclear import protein MOG1%2C putative
PRELSG_05_v1	""	BEM46-like protein%2C putative
PRELSG_10_v1	""	cyclin%2C putative
PRELSG_12_v1	""	elongation factor 1-gamma%2C putative
PRELSG_12_v1	""	zinc finger protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_21	""	PR-like protein
PRELSG_13_v1	""	nuclear formin-like protein MSFT%2C putative
PRELSG_99_v2_archived_contig_27	""	surface-associated interspersed protein (SURFN)
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	proteasome maturation factor UMP1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	clustered-asparagine-rich protein%2C putative
PRELSG_14_v1	""	haloacid dehalogenase-like hydrolase%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	MSP3-like protein
PRELSG_11_v1	""	GTP-binding protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_1	""	hypothetical protein
PRELSG_01_v1	""	adenylyl cyclase beta%2C putative
PRELSG_12_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_09_v1	""	alpha/beta hydrolase%2C putative
PRELSG_10_v1	""	glutathione synthetase%2C putative
PRELSG_11_v1	""	elongation factor G%2C putative
PRELSG_11_v1	""	AP2 domain transcription factor%2C putative
PRELSG_11_v1	""	protein transport protein Sec24A%2C putative
PRELSG_12_v1	""	TL domain-containing protein%2C putative
PRELSG_12_v1	""	serine/threonine protein kinase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	zinc finger protein%2C putative
PRELSG_10_v1	""	pre-mRNA-splicing factor BU31%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	cytochrome b5%2C putative
PRELSG_07_v1	""	ATP-dependent protease ATPase subunit ClpY%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	transmembrane protein Tmp21 homologue%2C putative
PRELSG_11_v1	""	NA-directed RNA polymerases %2C %2C and  subunit RPABC1%2C putative
PRELSG_12_v1	""	aminomethyltransferase%2C putative
PRELSG_07_v1	""	ribosomal RNA methyltransferase%2C putative
PRELSG_09_v1	""	formin 2%2C putative
PRELSG_11_v1	""	cullin-like protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	riboflavin kinase%2C putative
PRELSG_13_v1	""	tetratricopeptide repeat protein%2C putative
PRELSG_06_v1	""	palmitoyltransferase HHC10%2C putative
PRELSG_10_v1	""	protoheme X farnesyltransferase%2C putative
PRELSG_09_v1	""	tyrosine kinase-like protein%2C putative
PRELSG_08_v1	""	Rh5 interacting protein%2C putative
PRELSG_14_v1	""	clathrin heavy chain%2C putative
PRELSG_07_v1	""	translation initiation factor SU1%2C putative
PRELSG_08_v1	""	activator of Hsp90 ATPase%2C putative
PRELSG_11_v1	""	cdc2-related protein kinase 5%2C putative
PRELSG_01_v1	""	protein MPO%2C putative
PRELSG_08_v1	""	cysteine--tRNA ligase%2C putative
PRELSG_14_v1	""	cytoplasmic translation machinery associated protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	RNA polymerase  transcription factor B subunit 2%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	raf kinase inhibitor%2C putative
PRELSG_99_v2_archived_contig_1	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_08_v1	""	EH domain-containing protein%2C putative
PRELSG_05_v1	""	protein transport protein SEC23%2C putative
PRELSG_09_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	RNG zinc finger protein%2C putative
PRELSG_09_v1	""	alternative splicing factor ASF-1%2C putative
PRELSG_10_v1	""	cullin%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	palmitoyltransferase HHC8%2C putative
PRELSG_13_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_13_v1	""	RNG zinc finger protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	zinc finger protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	mitochondrial ribosomal protein L29/L47 precursor%2C putative
PRELSG_14_v1	""	ankyrin-repeat protein%2C putative
PRELSG_00_v1_archived_contig_90	""	surface-associated interspersed protein (SURFN)
PRELSG_11_v1	""	rhoptry protein ROP14%2C putative
PRELSG_05_v1	""	Rab5-interacting protein%2C putative
PRELSG_03_v1	""	sporozoite micronemal protein essential for cell traversal%2C putative
PRELSG_13_v1	""	eukaryotic translation initiation factor 2 subunit gamma%2C putative
PRELSG_14_v1	""	HORMA domain protein%2C putative
PRELSG_09_v1	""	small nucleolar RNA snoR07
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	merozoite surface protein MSA180%2C putative
PRELSG_14_v1	""	protein CutA%2C putative
PRELSG_02_v1	""	fatty acid elongation protein%2C GNS1/SUR4 family%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	TMEM121 domain-containing protein%2C putative
PRELSG_12_v1	""	transmembrane protein 43%2C putative
PRELSG_08_v1	""	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex%2C putative
PRELSG_07_v1	""	phosphatidylinositol N-acetylglucosaminyltransferase subunit P%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	L-lactate dehydrogenase%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	ribosomal RNA methyltransferase%2C putative
PRELSG_00_v1_archived_contig_18	""	surface-associated interspersed protein (SURFN)
PRELSG_11_v1	""	CLAMP domain-containing protein%2C putative
PRELSG_01_v1	""	40S ribosomal protein S29%2C putative
PRELSG_13_v1	""	uracil-NA glycosylase%2C putative
PRELSG_09_v1	""	guanylyl cyclase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	26S proteasome regulatory subunit RPN6%2C putative
PRELSG_09_v1	""	tRNA nucleotidyltransferase%2C putative
PRELSG_12_v1	""	casein kinase  beta chain%2C putative
PRELSG_06_v1	""	HORMA domain protein%2C putative
PRELSG_00_v1_archived_contig_238	""	Plasmodium exported protein%2C unknown function
PRELSG_14_v1	""	apical ring associated protein 1%2C putative
PRELSG_01_v1	""	ubiquitin transferase%2C putative
PRELSG_00_v1_archived_contig_440	""	hypothetical protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_63	""	fam-h protein
PRELSG_01_v1	""	von Willebrand factor A domain-related protein%2C putative
PRELSG_06_v1	""	60S ribosomal protein L3%2C putative
PRELSG_12_v1	""	1-deoxy--xylulose 5-phosphate synthase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
